id,count_9296,count_9701,count_0206,count_0711
27171,6,16,54,99
27173,1,,,1
28000,,3,,
28001,,,,
28003,,,2,
28005,2,1,1,
28007,,3,,
28009,,,,
28011,,,,
28013,,,,
28015,,,,
28017,,,,
28019,,2,,
28021,,,,
28023,1,1,1,
28025,,,,
28027,1,,1,
28029,1,1,1,
28031,1,,,
28033,1,1,3,
28035,,,4,
28037,,1,,
28039,,,,
28041,,,,
28043,1,,,
28045,,1,1,
28047,7,7,1,
28049,5,9,2,2
28051,,,,
28053,,,,
28055,,,,
28057,,,,
28059,4,5,3,
28061,,,,
28063,,,,
28065,,,,
28067,,1,1,
28069,1,,,
28071,,,,
28073,1,1,1,1
28075,2,3,3,
28077,,,,
28079,1,,,
28081,1,,3,
28083,,,,
28085,,,,
28087,1,1,1,
28089,,,,
28091,,,,
28093,,3,1,
28095,,,,2
28097,,,,
28099,1,,,
28101,,,,
28103,,,,
28105,,,,
28107,,1,,
28109,1,1,,
28111,,,,
28113,2,3,,
28115,,,,
28117,,1,,
28119,,,1,
28121,,,,
28123,,,,
28125,,,,
28127,1,,,
28129,,,,
28131,,,2,
28133,,,,
28135,,,,
28137,,1,,
28139,,,,
28141,,,1,
28143,,,,
28145,,1,,
28147,,,,
28149,2,1,1,
28151,,,,
28153,1,,1,
28155,,,,
28157,,,,
28159,2,,,
28161,,5,,
28163,,1,,
29000,,1,,
29001,,2,,2
29003,1,,1,
29005,1,,,
29007,3,2,,
29009,6,3,2,
29011,,,1,
29013,7,2,2,
29015,,,2,
29017,14,10,1,
29019,5,4,4,
29021,1,,4,
29023,3,1,1,
29025,2,1,,
29027,1,2,2,
29029,23,5,3,
29031,43,25,5,
29033,1,,1,
29035,1,,,
29037,6,4,4,
29039,3,1,3,
29041,1,,,
29043,3,2,1,1
29045,,1,1,
29047,12,3,3,1
29049,2,,1,
29051,9,2,,
29053,,,,
29055,2,1,,
29057,,,,
29059,1,2,,
29061,,,1,
29063,1,,1,
29065,,1,2,
29067,,,,
29069,1,1,1,
29071,4,4,4,1
29073,2,1,1,
29075,1,,3,
29077,11,2,1,1
29079,1,,,
29081,,,1,
29083,,3,3,
29085,,,,
29087,,,,
29089,,1,,
29091,1,3,1,
29093,6,2,1,1
29095,62,10,21,4
29097,7,3,3,
29099,8,1,6,
29101,7,,2,
29103,,,,
29105,,,1,
29107,4,,,
29109,2,2,2,
29111,,1,,
29113,,2,2,1
29115,1,,1,
29117,1,,4,
29119,3,3,2,
29121,,,,
29123,5,3,1,
29125,2,,1,
29127,4,,,
29129,,,1,
29131,1,1,1,
29133,4,1,1,
29135,1,1,1,
29137,1,,,
29139,,2,,
29141,11,2,,1
29143,10,2,,
29145,3,1,1,
29147,5,,3,1
29149,,,,
29151,,,,
29153,,,,
29155,1,,,
29157,20,2,1,
29159,2,3,,
29161,,1,3,2
29163,1,1,,
29165,4,,,
29167,2,,1,
29169,,,,
29171,,,,1
29173,,2,,
29175,,2,,
29177,,,2,
29179,,1,,
29181,2,4,1,
29183,7,6,5,
